covariate	coef	exp(coef)	se(coef)	coef lower 95%	coef upper 95%	exp(coef) lower 95%	exp(coef) upper 95%	cmp to	z	p	-log2(p)
age_years	0.01339971981032493	1.0134898983949048	0.010521210796739264	-0.007221474425037996	0.034020914045687856	0.9928045377682718	1.0346062443041149	0.0	1.273591040916866	0.20280838898742734	2.301810765523198
stage_ordinal	0.09422941572937991	1.0988118017142274	0.20819391151617533	-0.31382315264284255	0.5022819841016024	0.7306482299430683	1.6524879225130615	0.0	0.45260408934705515	0.6508338535976417	0.619638799090233
cluster_0	-1.3102097721311492	0.26976346159264486	0.629302520902925	-2.543620048481147	-0.07679949578115153	0.07858141573916096	0.9260755170408614	0.0	-2.0820030567353465	0.03734219051732778	4.743049630293287
cluster_1	0.2747885558218909	1.316252331549193	0.24385000328275744	-0.20314866824228767	0.7527257798860694	0.816156895794584	2.122778364351086	0.0	1.126875341901302	0.25979519014032326	1.944553373974311
cluster_2	0.6206556547491683	1.860147256493601	0.28991633442024667	0.05243008075561484	1.1888812287427217	1.0538288765837884	3.2834057717771787	0.0	2.140809540760474	0.032289400264967766	4.952795544821348
